word,synset,lemma,definition,examples,synonyms,antonyms,similarity_run.v.01_sprint.v.01,similarity_ship.n.01_boat.n.01
joyful,joyful.a.01,joyful,full of or producing joy,"['make a joyful noise', 'a joyful occasion']","{'gleeful', 'joyful', 'elated', 'jubilant'}",{'sorrowful'},0.8571428571428571,0.9090909090909091
grateful,grateful.a.01,grateful,feeling or showing gratitude,"['a grateful heart', ""grateful for the tree's shade"", 'a thankful smile']","{'grateful', 'thankful'}",{'ungrateful'},0.8571428571428571,0.9090909090909091
optimistic,optimistic.a.01,optimistic,expecting the best in this best of all possible worlds,"['in an optimistic mood', 'optimistic plans', 'took an optimistic view']","{'affirmative', 'optimistic'}",{'pessimistic'},0.8571428571428571,0.9090909090909091
enthusiastic,enthusiastic.a.01,enthusiastic,having or showing great excitement and interest,"['enthusiastic crowds filled the streets', 'an enthusiastic response', 'was enthusiastic about taking ballet lessons']",{'enthusiastic'},{'unenthusiastic'},0.8571428571428571,0.9090909090909091
brilliant,brilliant.s.01,brilliant,of surpassing excellence,"['a brilliant performance', 'a superb actor']","{'superb', 'glorious', 'magnificent', 'brilliant', 'vivid', 'bright', 'brainy', 'smart_as_a_whip', 'splendid'}",set(),0.8571428571428571,0.9090909090909091
cheerful,cheerful.a.01,cheerful,being full of or promoting cheer; having or showing good spirits,"['her cheerful nature', 'a cheerful greeting', 'a cheerful room', 'as cheerful as anyone confined to a hospital bed could be']","{'pollyannaish', 'upbeat', 'cheerful'}",{'depressing'},0.8571428571428571,0.9090909090909091
encouraging,promote.v.01,promote,contribute to the progress or growth of,['I am promoting the use of computers in the classroom'],"{'supporting', 'promote', 'encouraging', 'boost', 'further', 'advance', 'encourage'}","{'discourage', 'discouraging'}",0.8571428571428571,0.9090909090909091
compassionate,feel_for.v.01,feel_for,share the suffering of,[],"{'pity', 'sympathize_with', 'condole_with', 'compassionate', 'feel_for'}",{'uncompassionate'},0.8571428571428571,0.9090909090909091
generous,generous.a.01,generous,willing to give and share unstintingly,['a generous donation'],{'generous'},"{'stingy', 'ungenerous'}",0.8571428571428571,0.9090909090909091
inspiring,inspire.v.01,inspire,heighten or intensify,['These paintings exalt the imagination'],"{'urge', 'inhale', 'urge_on', 'prompt', 'enliven', 'pep_up', 'inspiring', 'exalt', 'animate', 'invigorate', 'root_on', 'cheer', 'revolutionize', 'inspire', 'breathe_in', 'instigate', 'exhort', 'revolutionise', 'barrack'}","{'uninspiring', 'exhale'}",0.8571428571428571,0.9090909090909091
blissful,blissful.s.01,blissful,completely happy and contented,"['blissful young lovers', 'in blissful ignorance']",{'blissful'},set(),0.8571428571428571,0.9090909090909091
radiant,beaming.s.03,beaming,radiating or as if radiating light,"['the beaming sun', 'the effulgent daffodils', 'a radiant sunrise', 'a refulgent sunset']","{'refulgent', 'beamy', 'effulgent', 'beaming', 'radiant'}",set(),0.8571428571428571,0.9090909090909091
vibrant,vibrant.s.01,vibrant,vigorous and animated,"['a vibrant group that challenged the system', 'a charming and vivacious hostess', 'a vivacious folk dance']","{'vivacious', 'vibrant'}",set(),0.8571428571428571,0.9090909090909091
serene,calm.s.01,calm,not agitated; without losing self-possession,"['spoke in a calm voice', 'remained calm throughout the uproar', 'he remained serene in the midst of turbulence', 'a serene expression on her face', 'she became more tranquil', 'tranquil life in the country']","{'calm', 'serene', 'unagitated', 'tranquil'}",set(),0.8571428571428571,0.9090909090909091
fabulous,fabulous.s.01,fabulous,extremely pleasing,['a fabulous vacation'],"{'mythological', 'fab', 'mythic', 'fabulous', 'mythologic', 'mythical'}",set(),0.8571428571428571,0.9090909090909091
uplifting,uplifting.n.01,uplifting,the rise of something,['the uplifting of the clouds revealed the blue of a summer sky'],"{'elate', 'uplifting', 'uplift', 'lift_up', 'pick_up', 'intoxicate'}",{'depress'},0.8571428571428571,0.9090909090909091
delightful,delightful.s.01,delightful,greatly pleasing or entertaining,"['a delightful surprise', 'the comedy was delightful', 'a delicious joke']","{'delicious', 'delightful'}",set(),0.8571428571428571,0.9090909090909091
exuberant,ebullient.s.01,ebullient,joyously unrestrained,[],"{'ebullient', 'lush', 'riotous', 'overweening', 'luxuriant', 'profuse', 'extravagant', 'high-spirited', 'excessive', 'exuberant'}",set(),0.8571428571428571,0.9090909090909091
courageous,brave.a.01,brave,possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth,"['Familiarity with danger makes a brave man braver but less daring', 'a frank courageous heart...triumphed over pain', 'set a courageous example by leading them safely into and out of enemy-held territory']","{'courageous', 'brave'}",{'cowardly'},0.8571428571428571,0.9090909090909091
harmonious,harmonious.a.01,harmonious,musically pleasing,[],"{'proportionate', 'symmetrical', 'harmonious'}",{'inharmonious'},0.8571428571428571,0.9090909090909091
lovely,cover_girl.n.01,cover_girl,a very pretty girl who works as a photographer's model,[],"{'pin-up', 'lovely', 'cover_girl', 'adorable', 'endearing'}",set(),0.8571428571428571,0.9090909090909091
magnificent,brilliant.s.03,brilliant,characterized by grandeur,"['the brilliant court life at Versailles', 'a glorious work of art', 'magnificent cathedrals', 'the splendid coronation ceremony']","{'brilliant', 'magnificent', 'glorious', 'splendid'}",set(),0.8571428571428571,0.9090909090909091
outstanding,outstanding.s.01,outstanding,distinguished from others in excellence,"['did outstanding work in human relations', 'an outstanding war record']","{'outstanding', 'spectacular', 'striking', 'undischarged', 'salient', 'great', 'owing', 'prominent'}",set(),0.8571428571428571,0.9090909090909091
peaceful,peaceful.a.01,peaceful,not disturbed by strife or turmoil or war,"['a peaceful nation', 'peaceful times', 'a far from peaceful Christmas', 'peaceful sleep']","{'passive', 'peaceful', 'peaceable'}",{'unpeaceful'},0.8571428571428571,0.9090909090909091
remarkable,remarkable.s.01,remarkable,unusual or striking,"['a remarkable sight', 'such poise is singular in one so young']","{'noteworthy', 'singular', 'remarkable'}",set(),0.8571428571428571,0.9090909090909091
sincere,sincere.a.01,sincere,open and genuine; not deceitful,"['he was a good man, decent and sincere', 'felt sincere regret that they were leaving', 'sincere friendship']","{'sincere', 'solemn', 'earnest'}",{'insincere'},0.8571428571428571,0.9090909090909091
thriving,boom.v.05,boom,grow vigorously,"['The deer population in this town is thriving', 'business is booming']","{'thrive', 'flourishing', 'roaring', 'boom', 'expand', 'prosper', 'booming', 'palmy', 'prospering', 'fly_high', 'thriving', 'flourish', 'prosperous'}",set(),0.8571428571428571,0.9090909090909091
victorious,victorious.s.01,victorious,having won,"['the victorious entry', 'the winning team']","{'winning', 'triumphant', 'victorious'}",set(),0.8571428571428571,0.9090909090909091
wonderful,fantastic.s.02,fantastic,extraordinarily good or great ; used especially as intensifiers,"['a fantastic trip to the Orient', 'the film was fantastic!', 'a howling success', 'a marvelous collection of rare books', 'had a rattling conversation about politics', 'a tremendous achievement']","{'wondrous', 'wonderful', 'tremendous', 'grand', 'rattling', 'terrific', 'howling', 'marvellous', 'fantastic', 'marvelous'}",set(),0.8571428571428571,0.9090909090909091
zealous,avid.s.02,avid,marked by active interest and enthusiasm,['an avid sports fan'],"{'zealous', 'avid'}",set(),0.8571428571428571,0.9090909090909091
angry,angry.a.01,angry,feeling or showing anger,"['angry at the weather', 'angry customers', 'an angry silence', 'sending angry letters to the papers']","{'angry', 'raging', 'furious', 'tempestuous', 'wild'}",{'unangry'},0.8571428571428571,0.9090909090909091
anxious,anxious.s.01,anxious,eagerly desirous,"['anxious to see the new show at the museum', 'dying to hear who won']","{'unquiet', 'queasy', 'uneasy', 'anxious', 'nervous', 'dying'}",set(),0.8571428571428571,0.9090909090909091
bitter,bitter.n.01,bitter,English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft),[],"{'acerbic', 'vitriolic', 'bitterly', 'acid', 'biting', 'caustic', 'sulphurous', 'sulfurous', 'blistering', 'piercingly', 'bitingly', 'acerb', 'bitterness', 'acrimonious', 'virulent', 'bitter', 'acrid'}",set(),0.8571428571428571,0.9090909090909091
boring,drilling.n.01,drilling,the act of drilling,[],"{'dull', 'drill', 'deadening', 'tiresome', 'irksome', 'wearisome', 'slow', 'bore', 'oil_production', 'drilling', 'ho-hum', 'boring', 'tire', 'tedious'}",{'interest'},0.8571428571428571,0.9090909090909091
cruel,barbarous.s.01,barbarous,(of persons or their actions) able or disposed to inflict pain or suffering,"['a barbarous crime', 'brutal beatings', 'cruel tortures', ""Stalin's roughshod treatment of the kulaks"", 'a savage slap', 'vicious kicks']","{'brutal', 'fell', 'roughshod', 'savage', 'vicious', 'barbarous', 'cruel'}",set(),0.8571428571428571,0.9090909090909091
deceitful,deceitful.s.01,deceitful,intended to deceive; ; ;  - S.T.Coleridge,"['deceitful advertising', 'fallacious testimony', 'smooth, shining, and deceitful as thin ice', 'a fraudulent scheme to escape paying taxes']","{'double-dealing', 'two-faced', 'fraudulent', 'fallacious', 'double-tongued', 'Janus-faced', 'ambidextrous', 'double-faced', 'deceitful', 'duplicitous'}",set(),0.8571428571428571,0.9090909090909091
depressed,depress.v.01,depress,lower someone's spirits; make downhearted,"['These news depressed her', ""The bad state of her child's health demoralizes her""]","{'dismay', 'low', 'depress', 'demoralise', 'grim', 'low-spirited', 'down', 'gloomy', 'blue', 'get_down', 'downcast', 'down_in_the_mouth', 'dispirit', 'lower', 'dispirited', 'demoralize', 'deject', 'cast_down', 'depressed', 'press_down', 'downhearted'}",{'elate'},0.8571428571428571,0.9090909090909091
disgusted,disgust.v.01,disgust,fill with distaste,['This spoilt food disgusts me'],"{'sick_of', 'tired_of', 'nauseate', 'fed_up', 'sick', 'disgusted', 'sicken', 'revolt', 'gross_out', 'churn_up', 'repel', 'disgust'}",set(),0.8571428571428571,0.9090909090909091
dreadful,awful.s.02,awful,causing fear or dread or terror,"['the awful war', 'an awful risk', 'dire news', 'a career or vengeance so direful that London was shocked', 'the dread presence of the headmaster', 'polio is no longer the dreaded disease it once was', 'a dreadful storm', 'a fearful howling', 'horrendous explosions shook the city', 'a terrible curse']","{'fearsome', 'frightening', 'abominable', 'unspeakable', 'direful', 'dread', 'fearful', 'atrocious', 'horrific', 'awful', 'dreadful', 'horrendous', 'dire', 'terrible', 'painful', 'dreaded'}",set(),0.8571428571428571,0.9090909090909091
envious,covetous.s.01,covetous,showing extreme cupidity; painfully desirous of another's advantages,"['he was never covetous before he met her', 'jealous of his success and covetous of his possessions', 'envious of their art collection']","{'jealous', 'covetous', 'envious'}",set(),0.8571428571428571,0.9090909090909091
frustrated,thwart.v.01,thwart,"hinder or prevent (the efforts, plans, or desires) of","[""What ultimately frustrated every challenger was Ruth's amazing September surge"", 'foil your opponent']","{'frustrated', 'queer', 'defeated', 'disappointed', 'scotch', 'crucify', 'foil', 'torment', 'cross', 'thwarted', 'foiled', 'frustrate', 'rag', 'bedevil', 'spoil', 'discomfited', 'dun', 'bilk', 'thwart', 'baffle'}",set(),0.8571428571428571,0.9090909090909091
greedy,avaricious.s.01,avaricious,immoderately desirous of acquiring e.g. wealth,"['they are avaricious and will do anything for money', ""casting covetous eyes on his neighbor's fields"", 'a grasping old miser', 'grasping commercialism', 'greedy for money and power', 'grew richer and greedier', 'prehensile employers stingy with raises for their employees']","{'avid', 'prehensile', 'devouring', 'grabby', 'avaricious', 'covetous', 'esurient', 'grasping', 'greedy'}",set(),0.8571428571428571,0.9090909090909091
grumpy,crabbed.s.01,crabbed,annoyed and irritable,[],"{'crabbed', 'ill-tempered', 'cross', 'crabby', 'grumpy', 'grouchy', 'fussy', 'bad-tempered'}",set(),0.8571428571428571,0.9090909090909091
hateful,hateful.a.01,hateful,evoking or deserving hatred; - Joseph Priestly,['no vice is universally as hateful as ingratitude'],"{'hateful', 'mean'}",{'lovable'},0.8571428571428571,0.9090909090909091
horrible,atrocious.s.03,atrocious,provoking horror; ; ; ; - Winston Churchill,"['an atrocious automobile accident', 'a frightful crime of decapitation', 'an alarming, even horrifying, picture', 'war is beyond all words horrible', 'an ugly wound']","{'horrible', 'horrifying', 'frightful', 'ugly', 'atrocious'}",set(),0.8571428571428571,0.9090909090909091
hopeless,hopeless.a.01,hopeless,without hope because there seems to be no possibility of comfort or success,"['in an agony of hopeless grief', 'with a hopeless sigh he sat down']",{'hopeless'},{'hopeful'},0.8571428571428571,0.9090909090909091
insensitive,insensitive.a.01,insensitive,not responsive to physical stimuli,['insensitive to radiation'],{'insensitive'},{'sensitive'},0.8571428571428571,0.9090909090909091
jealous,covetous.s.01,covetous,showing extreme cupidity; painfully desirous of another's advantages,"['he was never covetous before he met her', 'jealous of his success and covetous of his possessions', 'envious of their art collection']","{'jealous', 'overjealous', 'green-eyed', 'covetous', 'envious'}",set(),0.8571428571428571,0.9090909090909091
lonely,alone.s.02,alone,lacking companions or companionship,"['he was alone when we met him', 'she is alone much of the time', 'the lone skier on the mountain', 'a lonely fisherman stood on a tuft of gravel', 'a lonely soul', 'a solitary traveler']","{'lonesome', 'alone', 'lone', 'lonely', 'solitary', 'unfrequented'}",set(),0.8571428571428571,0.9090909090909091
malicious,malicious.a.01,malicious,having the nature of or resulting from malice; ; - Rudyard Kipling,"['malicious gossip', 'took malicious pleasure in...watching me wince']",{'malicious'},{'unmalicious'},0.8571428571428571,0.9090909090909091
miserable,miserable.s.01,miserable,very unhappy; full of misery,"['he felt depressed and miserable', 'a message of hope for suffering humanity', 'wretched prisoners huddled in stinking cages']","{'measly', 'low', 'deplorable', 'pathetic', 'piteous', 'paltry', 'hapless', 'scummy', 'poor', 'woeful', 'suffering', 'pitiful', 'execrable', 'pitiable', 'scurvy', 'miserable', 'low-down', 'wretched', 'abject', 'misfortunate'}",set(),0.8571428571428571,0.9090909090909091
neglectful,inattentive.s.02,inattentive,not showing due care or attention,"['inattentive students', 'an inattentive babysitter', 'neglectful parents']","{'neglectful', 'delinquent', 'derelict', 'remiss', 'inattentive'}",set(),0.8571428571428571,0.9090909090909091
pessimistic,pessimistic.a.01,pessimistic,expecting the worst possible outcome,[],{'pessimistic'},{'optimistic'},0.8571428571428571,0.9090909090909091
resentful,resentful.a.01,resentful,full of or marked by resentment or indignant ill will,"['resentful at the way he was treated', 'a sullen resentful attitude']",{'resentful'},{'unresentful'},0.8571428571428571,0.9090909090909091
sad,sad.a.01,sad,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,"['feeling sad because his dog had died', 'Better by far that you should forget and smile / Than that you should remember and be sad']","{'distressing', 'sad', 'deplorable', 'lamentable', 'sorry', 'pitiful'}",{'glad'},0.8571428571428571,0.9090909090909091
spiteful,despiteful.s.01,despiteful,showing malicious ill will and a desire to hurt; motivated by spite,"['a despiteful fiend', 'a truly spiteful child', 'a vindictive man will look for occasions for resentment']","{'vindictive', 'spiteful', 'despiteful'}",set(),0.8571428571428571,0.9090909090909091
